"X","ID","ag","pov_final","genre","mc_calc"
193,"2014_Bezmozgis,David_TheBetrayers_PW.txt.csv","M","3p","PW","Y"
195,"2014_Doerr,Anthony_AlltheLightWeCannotSee_PW.txt.csv","M","3p","PW","Y"
196,"2014_Everett,Percival_PercivalEverett_PW.txt.csv","M","1p","PW","Y"
197,"2014_Ferris,Joshua_RiseAgain_PW.txt.csv","M","1p","PW","Y"
198,"2014_Flanagan,Richard_NarrowRoad_PW.txt.csv","M","3p","PW","Y"
199,"2014_Fowler,KarenJoy_WeareAll_PW.txt.csv","F","1p","PW","Y"
201,"2014_HoldenRothman,Claire_MyOctober_PW.txt.csv","F","3p","PW","Y"
202,"2014_Itani,Frances_Tell_PW.txt.csv","F","3p","PW","Y"
203,"2014_Jacobson,Howard_J_PW.txt.csv","M","3p","PW","Y"
204,"2014_King,Thomas_TheBackoftheTurtle_PW.txt.csv","M","3p","PW","Y"
205,"2014_Klay,Phil_Redeployment_PW.txt.csv","M","1p","PW","Y"
206,"2014_Michaels,Sean_UsConductors_PW.txt.csv","M","1p","PW","Y"
207,"2014_Mukherjee,Neel_LivesofOthers_PW.txt.csv","M","3p","PW","Y"
208,"2014_ONeill,Heather_GirlWhoWasSaturday_PW.txt.csv","F","1p","PW","Y"
209,"2014_Robinson,Marilynne_Lila_PW.txt.csv","F","3p","PW","Y"
210,"2014_Silber,Joan_FoolsStories_PW.txt.csv","F","1p","PW","N"
211,"2014_Smith,Ali_HowToBeBoth_PW.txt.csv","F","1p","PW","Y"
212,"2014_StJohnMandel,Emily_StationEleven_PW.txt.csv","F","3p","PW","Y"
213,"2014_Thomas,Joan_OpeningSky_PW.txt.csv","F","3p","PW","Y"
214,"2014_Toews,Miriam_AllmyPunySorrows_PW.txt.csv","F","1p","PW","N"
215,"2014_Trueblood,Valerie_SearchPartyStoriesofRescue_PW.txt.csv","F","3p","PW","Y"
217,"2001_Martel,Yann_LifeofPi_BS.txt.csv","M","1p","BS","N"
218,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt.csv","F","1p","BS","Y"
219,"2002_Sebold,Alice_LovelyBones_BS.txt.csv","F","1p","BS","Y"
220,"2003_Hosseini,Khaled_TheKiteRunner_BS.txt.csv","M","1p","BS","Y"
221,"2004_Mitchell,David_CloudAtlas_BS.txt.csv","M","1p","BS","Y"
222,"2004_Picoult,Jodi_MySistersKeeper_BS.txt.csv","F","1p","BS","Y"
223,"2005_Connelly,Michael_TheLincolnLawyer_BS.txt.csv","M","1p","BS","Y"
224,"2005_Gardner,Lisa_Alone_BS.txt.csv","F","3p","BS","Y"
225,"2005_Giffin,Emily_SomethingBorrowed_BS.txt.csv","F","1p","BS","Y"
226,"2005_Larsson,Stieg_TheGirlWithTheDragonTattoo_BS.txt.csv","M","3p","BS","Y"
227,"2005_SafranFoer,Jonathan_ExtremelyLoudandIncrediblyClose_BS.txt.csv","M","1p","BS","Y"
228,"2006_Brooks,Max_WorldWarZ_BS.txt.csv","M","1p","BS","Y"
229,"2006_Gruen,Sara_WaterforElephants_BS.txt.csv","F","1p","BS","Y"
230,"2006_Jacobs,Kate_FridayNightKnitting_BS.txt.csv","F","3p","BS","Y"
231,"2006_Larsson,Stieg_TheGirlWhoPlayedWithFire_BS.txt.csv","M","3p","BS","Y"
232,"2006_Sparks,Nicholas_DearJohn_BS.txt.csv","M","1p","BS","Y"
233,"2007_deRosnay,Tatiana_SarahsKey_BS.txt.csv","F","1p","BS","Y"
